year,temperature_celsius,co2_ppm,country,continent
2020,14.85,414.24,Global,Global
2019,14.75,411.44,Global,Global
2018,14.69,408.52,Global,Global
2017,14.76,405.55,Global,Global
2016,14.83,404.24,Global,Global
2015,14.72,400.83,Global,Global
2014,14.57,398.65,Global,Global
2013,14.52,396.52,Global,Global
2012,14.48,393.85,Global,Global
2011,14.43,391.65,Global,Global
2010,14.56,389.90,Global,Global
2009,14.49,387.43,Global,Global
2008,14.31,385.60,Global,Global
2007,14.49,383.79,Global,Global
2006,14.42,381.90,Global,Global
2005,14.53,379.80,Global,Global
2004,14.36,377.49,Global,Global
2003,14.44,375.78,Global,Global
2002,14.45,373.28,Global,Global
2001,14.38,371.14,Global,Global
2000,14.26,369.55,Global,Global
1999,14.24,368.38,Global,Global
1998,14.43,366.70,Global,Global
1997,14.31,363.73,Global,Global
1996,14.14,362.61,Global,Global
1995,14.28,360.82,Global,Global
1994,14.18,358.83,Global,Global
1993,14.06,357.10,Global,Global
1992,14.08,356.45,Global,Global
1991,14.26,355.70,Global,Global
1990,14.29,354.39,Global,Global